sentence,item_start,item_end,amount_start,amount_end
Sold drip irrigation system in the market and earned 41864 INR.,5,27,53,58
"Just now, They charged 25088 Rs. for almond trees.",37,49,23,28
"Just now, hay bales goes for 44728 ₹ these days.",10,19,29,34
"A week ago, Market sale of greenhouse setup gave 31993 ₹.",27,43,49,54
"Earlier today, goats is sold for 8328 Rs. today.",15,20,33,37
"Just now, Farmer earned 46043 INR from raspberry plants sales.",39,55,24,29
"On Monday, For Green Beans, the price was 11172 Rs..",15,26,42,47
"Just now, We bought Bitter Gourd for 33681 INR at the weekly market.",20,32,37,42
"Just now, This season, I paid 20341 Rs. for nursery plants.",44,58,30,35
"Recently, Current rate of Blueberry is 8199 ₹.",26,35,39,43
"Yesterday, I gave 5360 ₹ as investment for raspberry plants.",43,59,18,22
"In the evening, dates price today is 17816 ₹.",16,21,37,42
"A week ago, They charged 9633 ₹ for milking machine.",36,51,25,29
The expense for Apple was 4294 ₹.,16,21,26,30
"A week ago, The invoice for Date Palm shows 36714 ₹.",28,37,44,49
"During the season, Cost of Banana amounted to 6770 INR.",27,33,46,50
"A week ago, Quoted price for dates is 13474 INR.",29,34,38,43
"During the season, Advance of 38281 rupees paid for apples.",52,58,30,35
"Yesterday, Sold farm fencing in the market and earned 6762 INR.",16,28,54,58
"Just now, Amount paid for coffee beans was 14807 Rs..",26,38,43,48
"Today, Cost of drip irrigation system amounted to 37616 ₹.",15,37,50,55
"Today, Today’s market rate for lychee is 6504 Rs..",31,37,41,45
"In the evening, Amount paid for Fig was 1119 ₹.",32,35,40,44
"On Monday, cheese is billed at 9284 ₹.",11,17,31,35
"Yesterday, Market sale of Custard Apple gave 39894 INR.",26,39,45,50
"In March, Total earnings from sheep were 5223 Rs..",30,35,41,45
"Last month, Harvested corn seeds and sold for 29895 Rs..",22,32,46,51
"Today, Used 33424 Rs. to buy horses.",29,35,12,17
"Early morning, Used 27124 rupees to buy Onion.",40,45,20,25
"Today, The cost of olive saplings is 12032 rupees.",19,33,37,42
"Early morning, In the local market, custard apple is priced at 29248 ₹.",36,49,63,68
"Last month, Sold honey extractor in the market and earned 30437 Rs..",17,32,58,63
"In the evening, Farmer purchased coconut tree for 11721 INR.",33,45,50,55
"In the evening, Today’s market rate for coconut tree is 37361 INR.",40,52,56,61
"On Monday, Farmer earned 33144 Rs. from watermelon plants sales.",40,57,25,30
"In March, The market price of coconut tree was 17618 Rs..",30,42,47,52
"Today, pepper is worth 36075 rupees now.",7,13,23,28
"Today, Carrot is billed at 5675 ₹.",7,13,27,31
"Last month, Amount paid for Carrot was 8130 INR.",28,34,39,43
Market sale of drip irrigation system gave 48886 rupees.,15,37,43,48
"Last month, They charged 8815 INR for papaya tree.",38,49,25,29
"In March, Payment of 10021 Rs. was made for Watermelon.",44,54,21,26
"In March, Settled 9882 INR for Sweet Corn purchase.",31,41,18,22
"Recently, Paid full amount 21011 INR for grain storage bags delivery.",41,59,27,32
"In the evening, Got 11286 Rs. for Tomato this morning.",34,40,20,25
"Just now, Purchased tulip bulbs at 31371 Rs..",20,31,35,40
"Last month, The expense for Papaya was 5515 Rs..",28,34,39,43
"In March, Current rate of olive saplings is 41209 Rs..",26,40,44,49
"Recently, pesticide is billed at 29849 INR.",10,19,33,38
"In March, Today’s market rate for seedling trays is 11881 Rs..",34,48,52,57
"In March, Cost of nursery plants amounted to 47309 INR.",18,32,45,50
"In the evening, The invoice for ginger shows 586 Rs..",32,38,45,48
"In March, Around noon, I spent 32144 INR on solar.",44,49,31,36
"Last month, milking machine fetched 36643 Rs. at the auction.",12,27,36,41
₹40333 was given to buy buffalo.,24,31,1,6
"Yesterday, Paid full amount 12940 ₹ for horses delivery.",40,46,28,33
"In the evening, Current rate of Sapota (Chikoo) is 4138 rupees.",32,47,51,55
"Yesterday, I spent 5153 INR on bonsai trees last month.",31,43,19,23
"Early morning, Harvested poultry feed and sold for 7036 rupees.",25,37,51,55
"Just now, In the local market, apples is priced at 43173 Rs..",31,37,51,56
"Early morning, This season, I paid 3501 Rs. for wheat seeds.",48,59,35,39
"Earlier today, They charged 42588 INR for Plum.",42,46,28,33
"Last month, Payment of 37050 rupees was made for Capsicum.",49,57,23,28
"Early morning, I spent 7287 Rs. on pigs last month.",35,39,23,27
"Today, Sold rice seeds in the market and earned 25744 INR.",12,22,48,53
"During the season, We bought banana plants for 24013 rupees at the weekly market.",29,42,47,52
"Recently, corn seeds fetched 17053 ₹ at the auction.",10,20,29,34
"Earlier today, Used 25258 Rs. to buy banana tree.",37,48,20,25
"During the season, Harvest of sprinkler system brought in 34757 Rs..",30,46,58,63
"During the season, We bought blackberry plants for 12647 Rs. at the weekly market.",29,46,51,56
"In March, Rs. 41186 was spent on rotavator.",33,42,14,19
"A week ago, For banana tree, the price was 9633 rupees.",16,27,43,47
"Yesterday, They charged 39842 rupees for Guava.",41,46,24,29
"On Monday, Papaya is worth 5768 ₹ now.",11,17,27,31
"On Monday, Spent 4780 rupees on purchasing papaya for my farm.",43,49,17,21
"Earlier today, The cost of Drumstick is 35952 Rs..",27,36,40,45
"Just now, Quoted price for mango saplings is 13202 rupees.",27,41,45,50
"Just now, Sold Radish in the market and earned 9293 Rs..",15,21,47,51
buffalo is fetching 10705 ₹ this season.,0,7,20,25
"Last month, Advance of 43471 INR paid for marigold flowers.",42,58,23,28
"Today, garlic bulbs fetched 14608 INR at the auction.",7,19,28,33
"In the evening, Quoted price for onion seeds is 10205 INR.",33,44,48,53
"Today, greenhouse setup is fetching 41537 Rs. this season.",7,23,36,41
Sweet Corn goes for 20888 Rs. these days.,0,10,20,25
"In the evening, This season, I paid 16701 INR for lemons.",50,56,36,41
"A week ago, Sold pigs in the market and earned 38443 rupees.",17,21,47,52
The cost of aquaculture supplies is 18967 rupees.,12,32,36,41
Received 24898 rupees from selling Blueberry.,35,44,9,14
"In March, The expense for biogas plant was 13837 ₹.",26,38,43,48
"During the season, The bill for Cauliflower came to 40670 ₹.",32,43,52,57
"Just now, Drumstick is billed at 49507 Rs..",10,19,33,38
"Last month, Acquired blackberry plants by paying 18739 Rs..",21,38,49,54
"During the season, Pineapple was given for 25354 ₹ per kilo.",19,28,43,48
"Last month, Quoted price for chili plants is 30717 ₹.",29,41,45,50
"Yesterday, Used 39982 ₹ to buy rose plants.",31,42,16,21
"In the evening, They charged 35841 rupees for beehives.",46,54,29,34
"In March, The market price of honey extractor was 32115 Rs..",30,45,50,55
We spent 37774 ₹ on fungicide repair.,20,29,9,14
"Yesterday, For strawberry plants, the price was 8620 rupees.",15,32,48,52
"In March, Settled 4741 INR for pumpkin seeds purchase.",31,44,18,22
The cost of coconut tree is 9229 INR.,12,24,28,32
"Last month, Paid full amount 48377 Rs. for tulip bulbs delivery.",43,54,29,34
"In the evening, Advance of 4712 INR paid for cotton bales.",45,57,27,31
"During the season, The invoice for jamun saplings shows 13331 rupees.",35,49,56,61
"During the season, Got 15429 Rs. for grain storage bags this morning.",37,55,23,28
"During the season, grain storage bags is sold for 8735 Rs. today.",19,37,50,54
"In March, I invested 41098 ₹ for buying guava tree.",40,50,21,26
"A week ago, oranges purchase cost us 9148 rupees.",12,19,37,41
"A week ago, Farmer purchased pesticide for 48819 INR.",29,38,43,48
"In the evening, Current rate of honey extractor is 49141 ₹.",32,47,51,56
"In the evening, harrow was sold for 30284 ₹ yesterday.",16,22,36,41
Settled 17109 rupees for blueberry plants purchase.,25,41,8,13
"In March, The cost of guava tree is 28439 ₹.",22,32,36,41
"Yesterday, Acquired blackberry plants by paying 26047 ₹.",20,37,48,53
"On Monday, Amount paid for Grapes was 36859 rupees.",27,33,38,43
"In the evening, The market price of jasmine plants was 42693 Rs..",36,50,55,60
"During the season, Orange is worth 41777 INR now.",19,25,35,40
"Early morning, Farmer earned 46882 INR from irrigation pipe sales.",44,59,29,34
"Recently, The market price of chili plants was 37665 ₹.",30,42,47,52
"Earlier today, Cost of fishing nets amounted to 24001 INR.",23,35,48,53
"On Monday, The cost of guava tree is 43134 rupees.",23,33,37,42
"In March, plough repair fetched 43090 rupees at the auction.",10,23,32,37
"A week ago, jackfruit purchase cost us 978 ₹.",12,21,39,42
"Just now, ₹17193 was given to buy Date Palm.",34,43,11,16
"During the season, Paid 26055 INR to buy milk.",41,45,24,29
"Last month, coffee beans purchase came to 6068 rupees.",12,24,42,46
"Earlier today, Payment of 36324 rupees was made for poultry cage.",52,64,26,31
"Earlier today, Current rate of lavender plants is 31985 Rs..",31,46,50,55
"Just now, Amount due for corn seeds is 34061 INR.",25,35,39,44
"Yesterday, corn seeds is worth 3630 INR now.",11,21,31,35
Advance of 9989 rupees paid for blueberry plants.,32,48,11,15
"In the evening, Farmer purchased tea leaves for 23798 ₹.",33,43,48,53
"Just now, Harvested lily bulbs and sold for 23209 Rs..",20,30,44,49
"Earlier today, Advance of 45321 Rs. paid for jackfruit.",45,54,26,31
"Recently, We sold soybean seeds for 35410 rupees today.",18,31,36,41
"In the evening, Rs. 48886 was spent on ginger.",39,45,20,25
"In the evening, goat is sold for 43087 ₹ today.",16,20,33,38
Farmer purchased yogurt for 43567 Rs..,17,23,28,33
"During the season, Advance of 34798 rupees paid for jamun saplings.",52,66,30,35
"In the evening, Around noon, I spent 16987 rupees on greenhouse setup.",53,69,37,42
"Earlier today, Today’s market rate for palm oil is 28105 rupees.",39,47,51,56
"During the season, ₹17194 was given to buy papaya.",43,49,20,25
banana plants price today is 21614 ₹.,0,13,29,34
"In March, Current rate of milk is 39701 INR.",26,30,34,39
"Just now, The cost of pigs is 33553 ₹.",22,26,30,35
"Yesterday, I invested 13681 rupees for buying Cauliflower.",46,57,22,27
"In the evening, Spent 42360 Rs. on purchasing weed killer for my farm.",46,57,22,27
Payment of 18383 Rs. was made for Apple.,34,39,11,16
"Early morning, Settled 34666 ₹ for banana plants purchase.",35,48,23,28
"Last month, They charged 42280 rupees for Cucumber.",42,50,25,30
"Today, mulberry is billed at 40759 rupees.",7,15,29,34
"During the season, Today’s market rate for solar panels is 869 rupees.",43,55,59,62
Harvest of drip irrigation system brought in 38436 INR.,11,33,45,50
"Yesterday, Total earnings from seedling trays were 41186 ₹.",31,45,51,56
"In March, Paid full amount 38118 rupees for Turnip delivery.",44,50,27,32
"In the evening, We bought cocoa pods for 9148 INR at the weekly market.",26,36,41,45
"A week ago, Farmer purchased Mango for 35837 Rs..",29,34,39,44
Amount paid for Bottle Gourd was 20321 ₹.,16,28,33,38
"Yesterday, Today’s market rate for sugarcane is 31071 Rs..",35,44,48,53
"Early morning, Got 17095 ₹ for pesticide this morning.",31,40,19,24
"A week ago, Cost of Jackfruit amounted to 34405 rupees.",20,29,42,47
"Today, fungicide purchase cost us 2410 rupees.",7,16,34,38
"During the season, We sold Mango for 23188 Rs. today.",27,32,37,42
"Just now, guava purchase cost us 48709 rupees.",10,15,33,38
"In the evening, Around noon, I spent 41049 INR on raspberry plants.",50,66,37,42
"On Monday, Harvest of Lady Finger brought in 22850 INR.",22,33,45,50
Harvested rose plants and sold for 1043 rupees.,10,21,35,39
"For raspberry plants, the price was 4623 INR.",4,20,36,40
"Recently, Payment of 48593 INR was made for corn seeds.",44,54,21,26
"Yesterday, Farmer purchased Turnip for 9093 ₹.",28,34,39,43
"In the evening, cocoa pods is billed at 25185 Rs..",16,26,40,45
"In the evening, Advance of 21781 rupees paid for sprinkler system.",49,65,27,32
"Today, fertilizer price today is 19225 INR.",7,17,33,38
"A week ago, The invoice for fish fingerlings shows 377 Rs..",28,44,51,54
"Last month, Amount paid for Pineapple was 8507 ₹.",28,37,42,46
"Last month, Jackfruit is sold for 18773 ₹ today.",12,21,34,39
"Today, Paid full amount 186 ₹ for irrigation pipe delivery.",34,49,24,27
"Yesterday, We sold mulberry for 13515 ₹ today.",19,27,32,37
"Early morning, Payment of 45392 ₹ was made for sugarcane.",47,56,26,31
"On Monday, I invested 30035 rupees for buying Watermelon.",46,56,22,27
"Just now, drip irrigation system purchase cost us 6392 ₹.",10,32,50,54
"On Monday, Strawberry fetched 28822 rupees at the auction.",11,21,30,35
"In the evening, I had to pay 37499 ₹ for seed drill.",41,51,29,34
"In March, Rs. 25391 was spent on fish fingerlings.",33,49,14,19
"Today, I gave 4323 rupees as investment for Carrot.",44,50,14,18
"Last month, The bill for fungicide came to 3666 ₹.",25,34,43,47
"On Monday, carrot seeds fetched 33502 Rs. at the auction.",11,23,32,37
"On Monday, Got 3421 ₹ for Orange this morning.",26,32,15,19
"Last month, Paid 37991 rupees to buy Pumpkin.",37,44,17,22
"Yesterday, Amount due for duck feed is 14340 ₹.",26,35,39,44
"Yesterday, Payment of 2616 Rs. was made for goat pen.",44,52,22,26
"In the evening, Payment of 30538 rupees was made for lychee.",53,59,27,32
"Just now, yogurt purchase came to 42455 ₹.",10,16,34,39
Acquired chili plants by paying 42066 ₹.,9,21,32,37
"Just now, The market price of Orange was 4952 ₹.",30,36,41,45
"Earlier today, Got 6735 INR for cow this morning.",32,35,19,23
"In March, beehives fetched 3188 INR at the auction.",10,18,27,31
"Early morning, Settled 13027 INR for chili plants purchase.",37,49,23,28
"Today, They charged 36488 Rs. for tea leaves.",34,44,20,25
"Yesterday, Current rate of Strawberry is 28202 INR.",27,37,41,46
"Just now, guava tree is billed at 28380 ₹.",10,20,34,39
"Recently, Paid 6664 Rs. to buy ginger.",31,37,15,19
"On Monday, Used 40594 ₹ to buy lemons.",31,37,16,21
"Just now, Amount due for strawberry plants is 44139 ₹.",25,42,46,51
"Yesterday, Harvested fertilizer and sold for 23789 rupees.",21,31,45,50
"In the evening, Advance of 13136 INR paid for biogas plant.",46,58,27,32
"Last month, Strawberry goes for 42815 rupees these days.",12,22,32,37
"In March, Today’s market rate for carrot seeds is 36678 ₹.",34,46,50,55
"Early morning, farm fencing is sold for 664 ₹ today.",15,27,40,43
Rs. 31889 was spent on tomato plants.,23,36,4,9
"On Monday, I spent 17194 Rs. on cotton bales last month.",32,44,19,24
"Recently, Used 38635 rupees to buy Capsicum.",35,43,15,20
"In the evening, Used 23607 INR to buy palm oil.",38,46,21,26
"Today, Paid full amount 14639 rupees for duck feed delivery.",41,50,24,29
"Earlier today, sheep price today is 38115 INR.",15,20,36,41
"A week ago, Acquired blueberry plants by paying 315 ₹.",21,37,48,51
"In the evening, Paid full amount 38775 Rs. for dates delivery.",47,52,33,38
"Last month, They charged 22532 Rs. for Snake Gourd.",39,50,25,30
"In March, Today, sugarcane is sold for 27034 Rs..",17,26,39,44
Sale price of rice seeds was 8369 ₹.,14,24,29,33
Bought Tamarind today and paid 38289 INR.,7,15,31,36
"During the season, Harvested Mulberry and sold for 20304 rupees.",29,37,51,56
"On Monday, Payment of 48447 INR was made for wind turbines.",45,58,22,27
"During the season, Payment of 37156 Rs. was made for ducks.",53,58,30,35
"In the evening, papaya tree is worth 40903 ₹ now.",16,27,37,42
"Yesterday, The expense for greenhouse setup was 23365 INR.",27,43,48,53
"Earlier today, We spent 37031 ₹ on ghee repair.",35,39,24,29
"Today, goat purchase came to 999 INR.",7,11,29,32
"Today, Quoted price for Orange is 9952 ₹.",24,30,34,38
"Recently, Amount paid for biogas plant was 22236 Rs..",26,38,43,48
"Yesterday, Payment of 36035 INR was made for cabbage plants.",45,59,22,27
"Yesterday, harvesting machine is sold for 35961 rupees today.",11,29,42,47
"Yesterday, Market sale of pumpkin seeds gave 42120 INR.",26,39,45,50
"Today, Quoted price for milking machine is 29942 Rs..",24,39,43,48
"Recently, This season, I paid 20321 rupees for Beet root.",47,56,30,35
"In March, Farmer purchased harrow for 833 rupees.",27,33,38,41
"Earlier today, For Peas, the price was 42066 Rs..",19,23,39,44
"Last month, Got 38839 Rs. for rotavator this morning.",30,39,16,21
"In the evening, Settled 40010 rupees for Papaya purchase.",41,47,24,29
"Yesterday, Rs. 20341 was spent on water trough.",34,46,15,20
"Just now, I gave 4138 ₹ as investment for Fig.",42,45,17,21
"Yesterday, We sold Spinach for 35218 ₹ today.",19,26,31,36
"Yesterday, Bought fungicide today and paid 24156 INR.",18,27,43,48
"During the season, Acquired drip irrigation kit by paying 32144 rupees.",28,47,58,63
"Last month, We bought irrigation pipe for 36378 ₹ at the weekly market.",22,37,42,47
Sale price of weed killer was 3666 ₹.,14,25,30,34
"In March, Settled 20036 Rs. for banana tree purchase.",32,43,18,23
"Recently, figs price today is 30210 rupees.",10,14,30,35
"A week ago, Purchased lavender plants at 11111 rupees.",22,37,41,46
The cost of grapes is 42280 INR.,12,18,22,27
"Yesterday, ₹28410 was given to buy Apple.",35,40,12,17
"Recently, I gave 22532 Rs. as investment for Pear.",45,49,17,22
"Last month, I gave 40903 INR as investment for rice seeds.",47,57,19,24
"During the season, Farmer earned 37181 INR from pumpkin seeds sales.",48,61,33,38
"Today, herbicide is billed at 28105 Rs..",7,16,30,35
"A week ago, Total earnings from solar water pump were 40733 ₹.",32,48,54,59
Amount due for Peas is 26787 ₹.,15,19,23,28
"During the season, Today, Capsicum is sold for 6405 Rs..",26,34,47,51
"Yesterday, Got 26638 Rs. for garlic bulbs this morning.",29,41,15,20
"Just now, irrigation pipe purchase cost us 31602 rupees.",10,25,43,48
"Early morning, Payment of 1602 ₹ was made for Guava.",46,51,26,30
"In March, Rs. 3630 was spent on solar panels.",32,44,14,18
"On Monday, Orange goes for 27954 rupees these days.",11,17,27,32
"Yesterday, Received 46813 ₹ from selling jackfruit.",41,50,20,25
"A week ago, Watermelon is fetching 4175 rupees this season.",12,22,35,39
"Just now, Harvested Peas and sold for 3865 ₹.",20,24,38,42
"Early morning, Peas was given for 30210 INR per kilo.",15,19,34,39
"On Monday, We bought fungicide for 9598 Rs. at the weekly market.",21,30,35,39
"Yesterday, We spent 34631 Rs. on Pomegranate repair.",33,44,20,25
"In the evening, The expense for tea leaves was 44029 rupees.",32,42,47,52
"Recently, tomato plants price today is 44901 Rs..",10,23,39,44
"A week ago, Paid 9293 ₹ to buy sunflower seeds.",31,46,17,21
Today’s market rate for fishing nets is 592 rupees.,24,36,40,43
"In March, We bought Drumstick for 8275 rupees at the weekly market.",20,29,34,38
"Early morning, Harvested goat and sold for 21636 INR.",25,29,43,48
Acquired seedling trays by paying 28388 Rs..,9,23,34,39
"Earlier today, Received 38516 INR from selling jackfruit.",47,56,24,29
"Earlier today, We bought Sweet Corn for 38118 ₹ at the weekly market.",25,35,40,45
"On Monday, Sale price of Apricot was 8815 INR.",25,32,37,41
fertilizer is sold for 3404 INR today.,0,10,23,27
Farmer earned 11944 Rs. from pepper sales.,29,35,14,19
"A week ago, Used 23933 Rs. to buy Custard Apple.",34,47,17,22
"In the evening, pesticide is billed at 39689 Rs..",16,25,39,44
"In March, They charged 29350 INR for papaya tree.",37,48,23,28
"In the evening, Paid full amount 3904 Rs. for cotton bales delivery.",46,58,33,37
"Earlier today, Banana fetched 10306 ₹ at the auction.",15,21,30,35
"On Monday, Used 16307 INR to buy Peach.",33,38,16,21
"Early morning, Sale price of sprinkler system was 29885 ₹.",29,45,50,55
"Last month, Today, tea leaves is sold for 31537 Rs..",19,29,42,47
"Early morning, Received 20808 rupees from selling jackfruit tree.",50,64,24,29
"A week ago, Harvested Sweet Corn and sold for 47476 rupees.",22,32,46,51
"Earlier today, palm oil was given for 21238 Rs. per kilo.",15,23,38,43
"Early morning, Payment of 30717 ₹ was made for wheat seeds.",47,58,26,31
"Earlier today, I had to pay 26947 ₹ for papaya tree.",40,51,28,33
"Last month, Sale price of goats was 15721 ₹.",26,31,36,41
"On Monday, Paid 32217 ₹ to buy Ridge Gourd.",31,42,16,21
"Just now, In the local market, Coconut is priced at 20888 Rs..",31,38,52,57
"On Monday, Acquired Cabbage by paying 2583 Rs..",20,27,38,42
"Earlier today, Amount due for guava tree is 10356 rupees.",30,40,44,49
"Yesterday, They charged 29718 ₹ for lily bulbs.",36,46,24,29
"In the evening, Sale price of grain storage bags was 35980 Rs..",30,48,53,58
"In the evening, Around noon, I spent 18252 Rs. on drip irrigation system.",50,72,37,42
"On Monday, Got 42280 ₹ for pigs this morning.",27,31,15,20
"Last month, In the local market, Radish is priced at 8639 Rs..",33,39,53,57
Market sale of wheat seeds gave 27124 Rs..,15,26,32,37
"A week ago, Amount paid for coffee beans was 28765 INR.",28,40,45,50
"Recently, Onion is sold for 10388 ₹ today.",10,15,28,33
"On Monday, Today, buffalo is sold for 44139 INR.",18,25,38,43
"Last month, Acquired soybean seeds by paying 30703 Rs..",21,34,45,50
"In the evening, Spent 33838 rupees on purchasing fish fingerlings for my farm.",49,65,22,27
"During the season, I invested 3286 rupees for buying wind turbines.",53,66,30,34
"Recently, chickens purchase cost us 14639 ₹.",10,18,36,41
"On Monday, Advance of 42981 INR paid for lily bulbs.",41,51,22,27
Sold Green Beans in the market and earned 4294 Rs..,5,16,42,46
"Recently, This season, I paid 18937 Rs. for Capsicum.",44,52,30,35
"Today, Around noon, I spent 45419 rupees on sheep.",44,49,28,33
"Yesterday, We spent 44310 ₹ on rose plants repair.",31,42,20,25
"On Monday, The bill for Cabbage came to 25185 INR.",24,31,40,45
"In the evening, Harvest of tulip bulbs brought in 2041 ₹.",27,38,50,54
"Yesterday, Tomato was sold for 17267 rupees yesterday.",11,17,31,36
"During the season, ducks goes for 20207 ₹ these days.",19,24,34,39
"Last month, I gave 19324 INR as investment for coffee beans.",47,59,19,24
"Early morning, We spent 13154 INR on lavender plants repair.",37,52,24,29
"During the season, Cost of horses amounted to 38635 rupees.",27,33,46,51
"Today, This season, I paid 13540 rupees for harvesting machine.",44,62,27,32
Purchased Date Palm at 2343 ₹.,10,19,23,27
"A week ago, We bought yogurt for 48298 rupees at the weekly market.",22,28,33,38
"Early morning, Payment of 20888 rupees was made for honey extractor.",52,67,26,31
"Last month, Used 45028 rupees to buy sheep.",37,42,17,22
"Last month, For mulberry, the price was 9301 INR.",16,24,40,44
"Last month, biogas plant purchase cost us 6023 ₹.",12,24,42,46
"A week ago, I spent 43905 rupees on seed drill last month.",36,46,20,25
"Recently, Total earnings from mulberry were 38537 INR.",30,38,44,49
Sold pesticide in the market and earned 33577 rupees.,5,14,40,45
"In the evening, Harvested pigs and sold for 36714 rupees.",26,30,44,49
"In the evening, solar panels price today is 6474 rupees.",16,28,44,48
"In March, Cost of Radish amounted to 11721 ₹.",18,24,37,42
"On Monday, watermelon plants fetched 48093 Rs. at the auction.",11,28,37,42
"Today, goats purchase came to 34206 Rs..",7,12,30,35
"In the evening, Spinach is billed at 8843 Rs..",16,23,37,41
"Last month, I had to pay 17950 rupees for Snake Gourd.",42,53,25,30
"A week ago, Got 13695 ₹ for Capsicum this morning.",28,36,16,21
"Recently, Paid 42993 Rs. to buy grain storage bags.",32,50,15,20
"Last month, ₹7937 was given to buy pesticide.",35,44,13,17
"In March, Spent 29529 INR on purchasing ginger for my farm.",40,46,16,21
"On Monday, Received 30703 rupees from selling tea leaves.",46,56,20,25
"Just now, ginger was sold for 9555 Rs. yesterday.",10,16,30,34
"Today, Farmer earned 21572 Rs. from drip irrigation kit sales.",36,55,21,26
"Recently, This season, I paid 4780 ₹ for Radish.",41,47,30,34
"Last month, Got 9222 ₹ for pumpkin seeds this morning.",27,40,16,20
"In March, ₹39594 was given to buy ducks.",34,39,11,16
"Just now, Amount due for coconut tree is 631 Rs..",25,37,41,44
"In March, Sale price of almond trees was 28400 ₹.",24,36,41,46
"In the evening, Bought Spinach today and paid 31889 INR.",23,30,46,51
"In the evening, Sold honey extractor in the market and earned 36578 Rs..",21,36,62,67
"During the season, silo repair price today is 26689 INR.",19,30,46,51
"Today, The invoice for fish feed shows 41269 INR.",23,32,39,44
strawberry plants fetched 11602 INR at the auction.,0,17,26,31
"In the evening, Cost of coconut trees amounted to 28150 ₹.",24,37,50,55
"In March, We bought chickens for 2279 INR at the weekly market.",20,28,33,37
"In March, papaya is worth 34145 INR now.",10,16,26,31
"Yesterday, Settled 21572 Rs. for buffalo purchase.",33,40,19,24
"During the season, We spent 19830 ₹ on Bottle Gourd repair.",39,51,28,33
coconut trees is billed at 9264 rupees.,0,13,27,31
The market price of silo repair was 39689 ₹.,20,31,36,41
Got 10741 INR for cow this morning.,18,21,4,9
"Recently, Market sale of fishing nets gave 24057 INR.",25,37,43,48
"Today, The bill for wind turbines came to 30803 rupees.",20,33,42,47
"Recently, The market price of milk was 14383 rupees.",30,34,39,44
"In March, Amount due for ghee is 27841 rupees.",25,29,33,38
"Today, Market sale of chickens gave 7148 INR.",22,30,36,40
"A week ago, Quoted price for jasmine plants is 16483 INR.",29,43,47,52
"Yesterday, fish fingerlings is sold for 49635 INR today.",11,27,40,45
"During the season, Used 28000 ₹ to buy palm oil.",39,47,24,29
"In the local market, Pumpkin is priced at 30278 rupees.",21,28,42,47
"On Monday, We sold poultry cage for 44114 INR today.",19,31,36,41
"In the evening, Bought drip irrigation kit today and paid 49699 rupees.",23,42,58,63
"Earlier today, We sold fish fingerlings for 3542 Rs. today.",23,39,44,48
"Early morning, goat pen was sold for 3426 Rs. yesterday.",15,23,37,41
"Recently, Harvest of rice seeds brought in 28890 Rs..",21,31,43,48
"Just now, Farmer purchased yogurt for 22058 Rs..",27,33,38,43
"A week ago, Radish purchase cost us 23639 Rs..",12,18,36,41
"During the season, Bought goats today and paid 13681 ₹.",26,31,47,52
"On Monday, wheat seeds purchase came to 3778 Rs..",11,22,40,44
"In March, Total earnings from chili plants were 26067 Rs..",30,42,48,53
"Early morning, We bought hay bales for 3089 Rs. at the weekly market.",25,34,39,43
"Yesterday, Current rate of Ridge Gourd is 9952 ₹.",27,38,42,46
"Yesterday, cattle shed was sold for 32995 ₹ yesterday.",11,22,36,41
"On Monday, silo repair was given for 48109 INR per kilo.",11,22,37,42
"A week ago, Amount paid for Pomegranate was 4341 Rs..",28,39,44,48
"Recently, Amount due for chickens is 17195 ₹.",25,33,37,42
"Just now, The bill for Pomegranate came to 36819 INR.",23,34,43,48
"Earlier today, silo repair is billed at 4475 ₹.",15,26,40,44
"Yesterday, Amount paid for pumpkin seeds was 40594 INR.",27,40,45,50
"A week ago, Current rate of lychee is 25724 ₹.",28,34,38,43
"On Monday, Amount due for horses is 34035 ₹.",26,32,36,41
"During the season, Orange is sold for 26365 rupees today.",19,25,38,43
"Earlier today, They charged 37991 INR for olive saplings.",42,56,28,33
"Recently, In the local market, irrigation pipe is priced at 39594 INR.",31,46,60,65
"A week ago, Paid full amount 32909 rupees for fishing nets delivery.",46,58,29,34
"In the evening, Total earnings from sugarcane were 49041 ₹.",36,45,51,56
"On Monday, wheat seeds purchase came to 28358 Rs..",11,22,40,45
"In the evening, I invested 18777 ₹ for buying honey extractor.",46,61,27,32
"Just now, fungicide purchase came to 30476 Rs..",10,19,37,42
Used 33767 INR to buy guava.,22,27,5,10
"During the season, We sold Plum for 31874 rupees today.",27,31,36,41
"On Monday, Got 11591 rupees for cattle shed this morning.",32,43,15,20
"During the season, For Blueberry, the price was 29529 rupees.",23,32,48,53
"Yesterday, cotton bales fetched 44223 INR at the auction.",11,23,32,37
"In March, Settled 38241 rupees for lemons purchase.",35,41,18,23
"Recently, ₹20527 was given to buy Peas.",34,38,11,16
"In March, Cost of Orange amounted to 21240 ₹.",18,24,37,42
"On Monday, Around noon, I spent 14401 rupees on chickens.",48,56,32,37
"In March, Spinach fetched 31491 rupees at the auction.",10,17,26,31
"A week ago, Acquired farm fencing by paying 26724 Rs..",21,33,44,49
"A week ago, Acquired tomato plants by paying 28439 INR.",21,34,45,50
"Yesterday, The expense for Watermelon was 46264 INR.",27,37,42,47
"Yesterday, Paid 25220 Rs. to buy ginger.",33,39,16,21
"Early morning, We sold Beet root for 43377 Rs. today.",23,32,37,42
"Just now, Spent 15525 INR on purchasing Pear for my farm.",40,44,16,21
"Recently, Settled 5675 INR for water trough purchase.",31,43,18,22
